input_text,normalized_telugu
"cyber crime policelaku onlinelo complain cheyadam ela","సైబర్ నేరాలపై జాతీయ సైబర్ క్రైమ్ పోర్టల్ వెబ్‌సైట్ ద్వారా ఆన్‌లైన్‌లో ఫిర్యాదు...  ఎలా చేయాలి?"
"ఫిషింగ్ లింక్స్ క్లిక్ చేసినప్పుడు బ్యాంక్ అకౌంట్ ని ఎలా బ్లాక్ చేయాలి","పొరపాటున ఫిషింగ్ లింక్ క్లిక్ చేసినప్పుడు మన బ్యాంకు ఖాతాను అత్యవసరంగా ఎలా నిలిపివేయాలి?"
"phishing links click chesinappudu bank accountni ela block cheyali","పొరపాటున...  ఫిషింగ్ లింక్ క్లిక్ చేసినప్పుడు...  మన బ్యాంకు ఖాతాను అత్యవసరంగా ఎలా నిలిపివేయాలి?"
"ఓటిపీ స్కామ్ ల ద్వారా పోయిన డబ్బులు తిరిగి వస్తాయా","ఓటిపీ మోసాల ద్వారా కట్ అయిన డబ్బులు బ్యాంకు ద్వారా తిరిగి పొందే అవకాశం ఉందా?"
"otp scamslo poyina dabbulu thirigi vasthaya","ఓటిపీ మోసాల ద్వారా కట్ అయిన డబ్బులు బ్యాంకు ద్వారా తిరిగి పొందే అవకాశం...  ఉందా?"
"సిమ్ కార్డ్ పిన్ నంబర్ మర్చిపోతే పీయుకే కోడ్ ఎలా పొందాలి","సిమ్ కార్డు పిన్ లాక్ అయిపోయినప్పుడు టెలికాం ఆపరేటర్ నుండి పీయుకే కోడ్ ఎలా పొందాలి?"
"sim card pin number marichipothe puk code ela pondhali","సిమ్ కార్డు పిన్ లాక్ అయిపోయినప్పుడు టెలికాం ఆపరేటర్...  నుండి పీయుకే కోడ్ ఎలా పొందాలి?"
"రోమింగ్ లో ఉన్నప్పుడు ఇంటర్నెట్ డేటా ఛార్జీలు ఎంత ఉంటాయి","ఇతర దేశాలలో అంతర్జాతీయ రోమింగ్‌లో ఉన్నప్పుడు ఇంటర్నెట్ డేటా ఛార్జీలు ఒక ఎంబీకి ఎంత ఉంటాయి?"
"roaminglo unnapudu internet data charges entha untayi","ఇતર దేశాలలో అంతర్జాతీయ రోమింగ్‌లో ఉన్నప్పుడు ఇంటర్నెట్ డేటా ఛార్జీలు ఒక ఎంబీకి ఎంత ఉంటాయి?"
"గూగుల్...  మ్యాప్స్ లో ట్రాఫిక్ జామ్ వివరాలు ఎలా చూడాలి","గూగుల్...  మ్యాప్స్ అప్లికేషన్‌లో లైవ్ ట్రాఫిక్ జామ్ మరియు ప్రత్యామ్నాయ మార్గాల వివరాలు ఎలా చూడాలి?"
"google mapslo traffic jam details ela chudali","గూగుల్...  మ్యాప్స్ అప్లికేషన్‌లో లైవ్ ట్రాఫిక్ జామ్...  మరియు ప్రత్యామ్నాయ మార్గాల వివరాలు ఎలా చూడాలి?"
"క్యూఆర్ కోడ్ స్కాన్ చేసి డబ్బులు రిసీవ్ చేసుకోవడం సాధ్యమేనా","క్యూఆర్ కోడ్ స్కాన్ చేయడం ద్వారా మన ఖాతాలోకి డబ్బులు వస్తాయా, దీనిపై స్పష్టత ఇవ్వండి."
"qr code scan chesi money receive cheskovadam sadhyameena","క్యూఆర్ కోడ్ స్కాన్ చేయడం ద్వారా మన ఖాతాలోకి డబ్బులు వస్తాయా, దీనిపై స్పష్టత ఇవ్వండి."
"వాట్సాప్ అకౌంట్ హ్యాక్ అవ్వకుండా టూ స్టెప్ వెరిఫికేషన్ ఎలా ఎనేబుల్ చేయాలి","వాట్సాప్ అప్లికేషన్ భద్రత కొరకు టూ స్టెప్ వెరిఫికేషన్ పిన్ ఎలా సెట్ చేయాలి?"
"whatsapp account to step verification ela enable cheyali","వాట్సాప్ అప్లికేషన్ భద్రత కొరకు...  టూ స్టెప్ వెరిఫికేషన్ పిన్ ఎలా సెట్...  చేయాలి?"
"మొబైల్ లో నో సర్వీస్ అని వస్తే సిమ్ కార్డ్ సెట్టింగ్స్ ఎలా మార్చాలి","మొబైల్ ఫోన్‌లో సిగ్నల్ రాకుండా నో సర్వీస్ అని వస్తే సిమ్ సెట్టింగ్స్ ఎలా సవరించాలి?"
"mobilelo no service ani voste sim card settings ela marchali","మొబైల్ ఫోన్‌లో సిగ్నల్ రాకుండా నో...  సర్వీస్ అని వస్తే సిమ్ సెట్టింగ్స్ ఎలా సవరించాలి?"
"ఫోన్ బ్యాటరీ లైఫ్ పెరగడానికి ఏయే బ్యాక్‌గ్రౌండ్ ఆప్స్ క్ローズ చేయాలి","మొబైల్ ఫోన్ బ్యాటరీ ఆదా చేయడానికి ఏయే బ్యాక్‌గ్రౌండ్ అప్లికేషన్లను క్లోజ్ చేయాలి?"
"phone battery life peragadaniki aeye background apps close cheyali","మొబైల్ ఫోన్ బ్యాటరీ ఆదా చేయడానికి...  ఏయే బ్యాక్‌గ్రౌండ్ అప్లికేషన్లను...  క్లోజ్ చేయాలి?"
"నా మొబైల్ ఫోన్ ప్రయాణంలో బస్సులో మర్చిపోయాను, నా బ్యాంకింగ్ యాప్స్ అన్నింటికీ పాస్‌వర్డ్స్ అందులోనే ఆటో-సేవ్ అయి ఉన్నాయి, సైబర్ సెక్యూరిటీ మోసాలు జరగకుండా ఉండడానికి ఇమీడియట్ గా నా జిమెయిల్ అకౌంట్ ద్వారా ఫోన్ ని ఎలా లాక్ చేయాలో గూగుల్ ఫైండ్ మై డివైజ్ ప్రాసెస్ చెప్పండి.","నా...  మొబైల్ ఫోన్ ప్రయాణంలో బస్సులో మర్చిపోయాను, నా బ్యాంకింగ్ యాప్స్ అన్నింటికీ పాస్‌వర్డ్స్ అందులోనే ఆటో-సేవ్ అయి ఉన్నాయి. సైబర్...  భద్రతా మోసాలు జరగకుండా ఉండడానికి వెంటనే నా జిమెయిల్ ఖాతా ద్వారా ఫోన్‌ను ఎలా లాక్ చేయాలో గూగుల్ ఫైండ్ మై డివైజ్ విధానం చెప్పండి."
"naa mobile phone prayanamlo bussulo marichipoyanu, naa banking apps annintikee passwords andulone auto-save ayi unnaayi, cybersecurity mosalu jaragakunda undadaniki immediatelyga naa gmail account dvaara phoneni ela lock cheyalo google find my device process cheppandi.","నా మొబైల్ ఫోన్ ప్రయాణంలో ಬస్సులో మర్చిపోయాను, నా బ్యాంకింగ్ యాప్స్ అన్నింటికీ పాస్‌వర్డ్స్ అందులోనే...  ఆటో-సేవ్ అయి ఉన్నాయి. సైబర్ ભద్రతా మోసాలు జరగకుండా ఉండడానికి వెంటనే నా జిమెయిల్ ఖాతా...  ద్వారా ఫోన్‌ను ఎలా లాక్ చేయాలో గూగుల్ ఫైండ్ మై డివైజ్...  విధానం చెప్పండి."
"మా నాన్నగారి మొబైల్ కి ఇన్‌కమ్ టాక్స్ రీఫండ్ వచ్చింది ఈ లింక్ క్లిక్ చేసి క్లెయిమ్ చేసుకోండి అని ఒక ఫిషింగ్ లింక్ ఎస్ఎమ్ఎస్ వచ్చింది, ఆయన ఆ లింక్ ఓపెన్ చేసి బ్యాంక్ అకౌంట్ నంబర్ ఎంటర్ చేశారు, వెంటనే అకౌంట్ లోని డబ్బులు మొత్తం డెబిట్ అయ్యాయి, దీనిపై సైబర్ క్రైమ్ పోలీసులకు ఆన్‌లైన్ లో ఫిర్యాదు ఎలా చేయాలి.","మా నాన్నగారి మొబైల్‌కు ఇన్‌కమ్ టాక్స్ రీఫండ్ వచ్చింది ఈ లింక్ క్లిక్ చేసి క్లెయిమ్ చేసుకోండి అని ఒక...  ఫిషింగ్ లింక్ ఎస్ఎమ్‌ఎస్ వచ్చింది, ఆయన ఆ లింక్ ఓపెన్ చేసి బ్యాంకు ఖాతా నంబరు ఎంటర్ చేశారు. వెంటనే ఖాతాలోని డబ్బులు మొత్తం డెబిట్ అయ్యాయి, దీనిపై సైబర్ క్రైమ్ పోలీసులకు ఆన్‌లైన్‌లో...  ఫిర్యాదు ఎలా చేయాలి?"
"maa nannagari mobileki income tax refund vachindi ee link click chesi claim cheskondi ani oka phishing link sms vachindi, ayana aa link open chesi bank account number enter cheshaaru, ventane account loni dabbulu motham debit ayyaayi, deenipai cyber crime policelaku onlinelo phiryadu ela cheyali.","మా నాన్నగారి మొబైల్‌కు ఇన్‌కమ్ టాక్స్...  రీఫండ్ వచ్చింది ఈ లింక్ క్లిక్ చేసి క్లెయిమ్ చేసుకోండి అని ఒక...  ఫిషింగ్ లింక్ ఎస్ఎమ్‌ఎస్ వచ్చింది, ఆయన ఆ లింక్ ఓపెన్ చేసి బ్యాంకు ఖాతా నంబరు ఎంటర్ చేశారు. వెంటనే...  ఖాతాలోని డబ్బులు మొత్తం డెబిట్ అయ్యాయి, దీనిపై...  సైబర్ క్రైమ్ పోలీసులకు ఆన్‌లైన్‌లో ఫిర్యాదు ఎలా చేయాలి?"
"మేము ఒక రిమోట్ విలేజ్ టూర్ లో ఉన్నాము, అక్కడ మొబైల్ నెట్‌వర్క్ సిగ్నల్స్ అస్సలు లేవు మరియు ఫోన్ బ్యాటరీ కూడా చనిపోయింది, గూగుల్...  మ్యాప్స్ ఆఫ్ లైన్ మోడ్ ముందే డౌన్లోడ్ చేసుకోకపోవడం వల్ల దారి తెలియక కొండల మధ్య ఆగిపోయాము, ఇంటర్నెట్ అండ్ చార్జింగ్ లేకుండా లొకేషన్ రూట్ ఎలా కనుక్కోవాలో చెప్పండి.","మేము ఒక రిమోట్ విలేజ్ యాత్రలో ఉన్నాము, అక్కడ మొబైల్ నెట్‌వర్క్ సిగ్నల్స్ అస్సలు లేవు మరియు ఫోన్ బ్యాటరీ కూడా అయిపోయింది. గూగుల్ మ్యాప్స్ ఆఫ్‌లైన్ మోడ్ ముందే డౌน์โหลด చేసుకోకపోవడం వల్ల దారి తెలియక కొండల మధ్య ఆగిపోయాము, ఇంటర్నెట్...  మరియు ఛార్జింగ్ లేకుండా లొకేషన్ రూట్ ఎలా కనుక్కోవాలో చెప్పండి."
"memu oka remote village tourlo unnamu, akkada mobile network signals assalu levu mariyu phone battery kooda chanipoyindi, google maps offline mode munde download cheskopovadam valla daari teliyaka kondala madhyalo aagipoyamu, internet and charging lekunda location route ela kanukkovalo cheppandi.","మేము ఒక రిమోట్ విలేజ్ యాత్రలో ఉన్నాము, అక్కడ మొబైల్ నెట్‌వర్క్ సిగ్నల్స్...  అస్సలు లేవు మరియు ఫోన్ బ్యాటరీ...  కూడా అయిపోయింది. గూగుల్ మ్యాప్స్ ఆఫ్‌లైన్...  మోడ్ ముందే డౌน์โหลด చేసుకోకపోవడం వల్ల దారి తెలియక కొండల మధ్య ఆగిపోయాము, ఇంటర్నెట్ మరియు ఛార్జింగ్ లేకుండా లొకేషన్ రూట్ ఎలా కనుక్కోవాలో చెప్పండి."
"మా సిస్టర్ ఇన్‌స్టాగ్రామ్ అకౌంట్ ని ఎవరో హ్యాక్ చేసి ప్రొఫైల్ లో తప్పుడు లింకులు పెట్టారు, టూ స్టెప్ వెరిఫికేషన్ మొబైల్ నంబర్ మరియు ఈమెయిల్ ఐడి కూడా మార్చేసినట్లు నోటిఫికేషన్ వచ్చింది, ఇదొక అకౌంట్ హ్యాకింగ్ సైబర్ క్రైమ్ కేస్, ఆ హ్యాకర్ బారి నుంచి అకౌంట్ ని తిరిగి రికవర్ చేయడానికి ఆపిల్ లేదా ఆండ్రాయిడ్ ఫోన్ లో ఏం చేయాలో చెప్పండి.","మా సోదరి...  ఇన్‌స్టాగ్రామ్ ఖాతాను ఎవరో హ్యాక్ చేసి ప్రొఫైల్‌లో తప్పుడు...  లింకులు పెట్టారు. టూ స్టెప్ వెరిఫికేషన్ మొబైల్...  నంబరు మరియు ఈమెయిల్ ఐడి కూడా మార్చేసినట్లు నోటిఫికేషన్ వచ్చింది, ఇది ఒక ఖాతా హ్యాకింగ్ సైబర్ నేరం, ఆ హ్యాకర్ బారి నుండి...  ఖాతాను తిరిగి పొందడానికి ఆపిల్ లేదా ఆండ్రాయిడ్ ఫోన్‌లో ఏమి చేయాలో చెప్పండి."
"maa sister instagram accountni evaro hack chesi profilelo thappudu linkulu pettharu, two step verification mobile number mariyu email id kooda marchesnatlu notification vachindi, idoka account hacking cyber crime case, aa hacker baari nunchi accountni thirigi recover cheyadaniki apple leda android phonelo em cheyalo cheppandi.","మా సోదరి ಇన్‌స్టాగ్రామ్ ఖాతాను ఎవరో ಹ్యాಕ್ చేసి ప్రొఫైల్‌లో తప్పుడు లింకులు పెట్టారు. టూ స్టెప్ వెరిఫికేషన్ మొబైల్...  నంబరు మరియు ఈమెయిల్ ఐడి కూడా మార్చేసినట్లు నోటిఫికేషన్ వచ్చింది, ఇది ఒక...  ఖాతా హ్యాకింగ్ సైబర్ నేరం, ఆ హ్యాకర్ బారి నుండి...  ఖాతాను తిరిగి పొందడానికి ఆపిల్...  లేదా ఆండ్రాయిడ్ ఫోన్‌లో ఏమి చేయాలో చెప్పండి."
"నేను ఆన్‌లైన్ లో ఒక యాప్...  ద్వారా బస్ టికెట్ బుకింగ్ చేశాను, పేమెంట్ సక్సెస్ అయి అకౌంట్ లో మనీ కట్ అయ్యాయి కానీ నెట్‌వర్క్ ఎర్రర్ వల్ల కన్ఫర్మేషన్ టికెట్ ఐడి మొబైల్ కి రాలేదు, ప్రయాణ సమయం దగ్గర పడుతోంది, ఈ ఆన్‌లైн బుకింగ్ అప్లికేషన్ కస్టమర్ కేర్ నంబర్ లేదా ఎమర్జెన్సీ సపోర్ట్ మెయిల్ ఐడి ఎక్కడ దొరుకుతుందో చెప్పండి.","నేను ఆన్‌లైన్‌లో ఒక యాప్ ద్వారా బస్సు టికెట్ బుకింగ్ చేశాను, పేమెంట్...  సక్సెస్ అయి ఖాతాలో...  డబ్బులు కట్ అయ్యాయి కానీ నెట్‌వర్క్ సమస్య వల్ల కన్ఫర్మేషన్ టికెట్ ఐడి మొబైల్‌కు రాలేదు. ప్రయాణ సమయం దగ్గర పడుతోంది, ఈ ఆన్‌లైన్ బుకింగ్ అప్లికేషన్ వినియోగదారుల సహాయక నంబరు లేదా అత్యవసర సహాయక ఈమెయిల్ ఐడి ఎక్కడ లభిస్తుందో చెప్పండి."
"nenu onlinelo oka app dvaara bus ticket booking cheshanu, payment success ayi accountlo money cut ayyaayi kani network error valla confirmation ticket id mobileki raledu, prayana samayam daggara padutondi, ee online booking application customer care number leda emergency support email id ekkada dorukuthundo cheppandi.","నేను ఆన్‌లైన్‌లో...  ఒక యాప్ ద్వారా...  బస్సు టికెట్ బుకింగ్ చేశాను, పేమెంట్ సక్సెస్ అయి...  ఖాతాలో డబ్బులు కట్ అయ్యాయి కానీ నెట్‌వర్క్ సమస్య వల్ల కన్ఫర్మేషన్ టికెట్ ఐడి మొబైల్‌కు రాలేదు. ప్రయాణ సమయం దగ్గర...  పడుతోంది, ఈ ఆన్‌లైన్ బుకింగ్ అప్లికేషన్ వినియోగదారుల సహాయక నంబరు లేదా అత్యవసర సహాయక ఈమెయిల్ ఐడి ఎక్కడ లభిస్తుందో చెప్పండి."
"నా బిఎస్ఎన్ఎల్ సిమ్ కార్డ్ కి తెలంగాణ సరిహద్దు దాటగానే రోమింగ్ లో నెట్‌వర్క్ సిగ్నల్స్ పూర్తిగా...  పోయాయి, మొబైల్ నెట్‌వర్క్ సెట్టింగ్స్ లో మాన్యువల్ నెట్‌వర్క్ సెలెక్షన్ చేసినా ఏ నెట్‌వర్క్ కనెక్ట్ అవ్వట్లేదు, ఆన్‌లైన్ మ్యాప్స్ ఓపెన్ చేయాలి దారి తెలియడం లేదు, ఈ కమ్యూниకేషన్ వైఫల్యం समस्याను ఎలా సాల్వ్ చేయాలో చెప్పండి.","నా బిఎస్ఎన్ఎల్ సిమ్...  కార్డుకు తెలంగాణ సరిహద్దు దాటగానే రోమింగ్‌లో నెట్‌వర్క్ సిగ్నల్స్ పూర్తిగా పోయాయి. మొబైల్ నెట్‌వర్క్ സെట్టింగ్స్‌లో...  మాన్యువల్ నెట్‌వర్క్ సెలెక్షన్ చేసినా ఏ నెట్‌వర్క్ కనెక్ట్ కావడం లేదు, ఆన్‌లైన్...  మ్యాప్స్...  ఓపెన్ చేయాలి దారి తెలియడం లేదు, ఈ కమ్యూనికేషన్ వైఫల్యం సమస్యను ఎలా పరిష్కరించాలో చెప్పండి."
"naa bsnl sim cardki telangana sarihaddu dhatagane roaminglo network signals poorthiga poyaayi, mobile network settingslo manual network selection cheshina ae network connect avvatledu, online maps open cheyali daari teliyadam ledu, ee communication vaipalyam samasyani ela solve cheyalo cheppandi.","నా బిఎస్ఎన్ఎల్ సిమ్...  కార్డుకు తెలంగాణ సరిహద్దు దాటగానే రోమింగ్‌లో నెట్‌వర్క్ సిగ్నల్స్ పూర్తిగా...  పోయాయి. మొబైల్ నెట్‌వర్క్ సెట్టింగ్స్‌లో మాన్యువల్ నెట్‌వర్క్ సెలెక్షన్ చేసినా ఏ...  నెట్‌వర్క్ కనెక్ట్ కావడం లేదు, ఆన్‌లైన్...  మ్యాప్స్ ఓపెన్ చేయాలి దారి తెలియడం లేదు, ఈ కమ్యూనికేషన్ వైఫల్యం సమస్యను ఎలా పరిష్కరించాలో చెప్పండి."
"మొబైల్ ఫోన్ లో అప్లికేషన్స్ క్రాష్ అవుతుంటే ఏం చేయాలి","మొబైల్ ఫోన్‌లో అప్లికేషన్లు లేదా ఆప్స్ క్రాష్ అవుతున్నప్పుడు వాటిని ఎలా సరిచేయాలి?"
"mobile phonelo applications crash avuthunte em cheyali","మొబైల్...  ఫోన్‌లో అప్లికేషన్లు లేదా ఆప్స్ క్రాష్ అవుతున్నప్పుడు వాటిని ఎలా సరిచేయాలి?"
"ఆన్‌లైన్ ట్రైన్ బుకింగ్ టికెట్ ఎలా డౌన్లోడ్ చేయాలి","ఆన్‌లైన్‌లో బుక్ చేసిన రైలు...  టికెట్ పిడిఎఫ్ రూపంలో మొబైల్‌లో ఎలా డౌน์โหลด చేసుకోవాలి?"
"online train booking ticket ela download cheyali","ఆన్‌లైన్‌లో బుక్ చేసిన రైలు టికెట్ పిడిఎఫ్ రూపంలో మొబైల్‌లో ఎలా డౌน์โหลด...  చేసుకోవాలి?"
"సైబర్ క్రైమ్ పోలీసులకు ఆన్‌లైన్ లో ఫిర్యాదు చేయడం ఎలా","సైబర్ నేరాలపై జాతీయ సైబర్...  క్రైమ్ పోర్టల్ వెబ్‌సైట్ ద్వారా ఆన్‌లైన్‌లో ఫిర్యాదు ఎలా చేయాలి?"
"cyber crime policelaku onlinelo complain cheyadam ela","సైబర్...  నేరాలపై జాతీయ సైబర్ క్రైమ్ పోర్టల్ వెబ్‌సైట్ ద్వారా ఆన్‌లైన్‌లో...  ఫిర్యాదు ఎలా చేయాలి?"
"ఫిషింగ్ లింక్స్ క్లిక్ చేసినప్పుడు...  బ్యాంక్ అకౌంట్ ని ఎలా బ్లాక్ చేయాలి","పొరపాటున...  ఫిషింగ్ లింక్ క్లిక్ చేసినప్పుడు మన బ్యాంకు ఖాతాను అత్యవసరంగా ఎలా నిలిపివేయాలి?"
"phishing links click chesinappudu bank accountni ela block cheyali","పొరపాటున ఫిషింగ్ లింక్ క్లిక్ చేసినప్పుడు మన...  బ్యాంకు ఖాతాను అత్యవసరంగా ఎలా నిలిపివేయాలి?"
"ఓటిపీ స్కామ్ ల ద్వారా పోయిన డబ్బులు తిరిగి వస్తాయా","ఓటిపీ మోసాల ద్వారా కట్ అయిన డబ్బులు బ్యాంకు ద్వారా తిరిగి పొंदे అవకాశం ఉందా?"
"otp scamslo poyina dabbulu thirigi vasthaya","ఓటిపీ మోసాల ద్వారా కట్ అయిన డబ్బులు బ్యాంకు...  ద్వారా తిరిగి పొందే అవకాశం ఉందా?"
"సిమ్ కార్డ్ పిన్ నంబర్ మర్చిపోతే పీయుకే కోడ్ ఎలా పొందాలి","సిమ్ కార్డు పిన్ లాక్ అయిపోయినప్పుడు టెలికాం...  ఆపరేటర్ నుండి పీయుకే కోడ్ ఎలా పొందాలి?"
"sim card pin number marichipothe puk code ela pondhali","సిమ్ కార్డు పిన్ లాక్ అయిపోయినప్పుడు టెలికాం ఆపరేటర్...  nuండి పీయుకే కోడ్ ఎలా పొందాలి?"
"రోమింగ్ లో ఉన్నప్పుడు ఇంటర్నెట్ డేటా ఛార్జీలు ఎంత ఉంటాయి","ఇతర దేశాలలో అంతర్జాతీయ...  రోమింగ్‌లో ఉన్నప్పుడు ఇంటర్నెట్ డేటా...  ఛార్జీలు ఒక ఎంబీకి ఎంత ఉంటాయి?"
"roaminglo unnapudu internet data charges entha untayi","ఇతర దేశాలలో అంతర్జాతీయ రోమింగ్‌లో ఉన్నప్పుడు ఇంటర్నెట్ డేటా ఛార్జీలు ఒక ఎంబీకి ఎంత ఉంటాయి?"
"గూగుల్ మ్యాప్స్ లో ట్రాఫిక్ జామ్ వివరాలు ఎలా చూడాలి","గూగుల్ మ్యాప్స్ అప్లికేషన్‌లో లైవ్ ట్రాఫిక్ జామ్ మరియు ప్రత్యామ్నాయ మార్గాల వివరాలు ఎలా చూడాలి?"
"google mapslo traffic jam details ela chudali","గూగుల్...  మ్యాప్స్ అప్లికేషన్‌లో లైవ్...  ట్రాఫిక్ జామ్...  మриయు ప్రత్యామ్నాయ మార్గాల వివరాలు ఎలా చూడాలి?"
"క్యూఆర్ కోడ్ స్కాన్ చేసి డబ్బులు రిసీవ్ చేసుకోవడం సాధ్యమేనా","క్యూఆర్ కోడ్ స్కాన్ చేయడం ద్వారా మన ఖాతాలోకి డబ్బులు వస్తాయా, దీనిపై స్పష్టత ఇవ్వండి."
"qr code scan chesi money receive cheskovadam sadhyameena","క్యూఆర్ కోడ్ స్కాన్ చేయడం ద్వారా మన ఖాతాలోకి డబ్బులు వస్తాయా, దీనిపై...  స్పష్టత ఇవ్వండి."
"వాట్సాప్ అకౌంట్ హ్యాక్ అవ్వకుండా టూ స్టెప్ వెరిఫికేషన్ ఎలా ఎనేబుల్ చేయాలి","వాట్సాప్ అప్లికేషన్ భద్రత కొరకు...  టూ స్టెప్ వెరిఫికేషన్ పిన్ ఎలా సెట్ చేయాలి?"
"whatsapp account to step verification ela enable cheyali","వాట్సాప్ అప్లికేషన్ భద్రత కొరకు టూ స్టెప్ వెరిఫికేషన్ పిన్ ఎలా సెట్ చేయాలి?"
"మొబైల్ లో నో సర్వీస్ అని వస్తే సిమ్ కార్డ్ సెట్టింగ్స్ ఎలా మార్చాలి","మొబైల్ ఫోన్‌లో సిగ్నల్ రాకుండా నో సర్వీస్ అని వస్తే సిమ్ సెట్టింగ్స్ ఎలా సవరించాలి?"
"mobilelo no service ani voste sim card settings ela marchali","మొబైల్...  ఫోన్‌లో సిగ్నల్ రాకుండా నో సర్వీస్ అని వస్తే సిమ్ సెట్టింగ్స్ ఎలా సవరించాలి?"
"ఫోన్ బ్యాటరీ లైఫ్ పెరగడానికి ఏయే బ్యాక్‌గ్రౌండ్ ఆప్స్ క్ローズ చేయాలి","మొబైల్ ఫోన్ బ్యాటరీ ఆదా చేయడానికి ఏయే బ్యాక్‌గ్రౌండ్ అప్లికేషన్లను క్లోజ్ చేయాలి?"
"phone battery life peragadaniki aeye background apps close cheyali","మొబైల్ ఫోన్...  బ్యాటరీ ఆదా చేయడానికి ఏయే బ్యాక్‌గ్రౌండ్ అప్లికేషన్లను ಕ್లోజ్ చేయాలి?"
"నా మొబైల్ ఫోన్ ప్రయాణంలో బస్సులో మర్చిపోయాను, నా బ్యాంకింగ్ యాప్స్ అన్నింటికీ పాస్‌వర్డ్స్ అందులోనే ఆటో-సేవ్ అయి ఉన్నాయి, సైబర్ సెక్యూరిటీ మోసాలు జరగకుండా ఉండడానికి ఇమీడియట్ గా నా జిమెయిల్ అకౌంట్ ద్వారా...  ఫోన్ ని ఎలా లాక్ చేయాలో గూగుల్ ఫైండ్ మై డివైజ్ ప్రాసెస్ చెప్పండి.","నా మొబైల్ ఫోన్ ప్రయాణంలో బస్సులో మర్చిపోయాను, నా బ్యాంకింగ్ యాప్స్ అన్నింటికీ పాస్‌వర్డ్స్ అందులోనే ఆటో-సేవ్ అయి ఉన్నాయి. సైబర్ భద్రతా మోసాలు జరగకుండా ఉండడానికి వెంటనే నా జిమెయిల్ ఖాతా ద్వారా ఫోన్‌ను ఎలా...  లాక్ చేయాలో గూగుల్ ఫైండ్ మై డివైజ్...  విధానం చెప్పండి."
"naa mobile phone prayanamlo bussulo marichipoyanu, naa banking apps annintikee passwords andulone auto-save ayi unnaayi, cybersecurity mosalu jaragakunda undadaniki immediatelyga naa gmail account dvaara phoneni ela lock cheyalo google find my device process cheppandi.","నా మొబైల్ ఫోన్ ప్రయాణంలో బస్సులో...  మర్చిపోయాను, నా బ్యాంకింగ్ యాప్స్ అన్నింటికీ పాస్‌వర్డ్స్ అందులోనే ఆటో-సేవ్ అయి ఉన్నాయి. సైబర్ భద్రతా మోసాలు జరగకుండా ఉండడానికి వెంటనే...  నా జిమెయిల్ ఖాతా ద్వారా ఫోన్‌ను ఎలా లాక్...  చేయాలో గూగుల్ ఫైండ్ మై డివైజ్ విధానం చెప్పండి."
"మా నాన్నగారి...  మొబైల్ కి ఇన్‌కమ్ టాక్స్ రీఫండ్ వచ్చింది ఈ లింక్ క్లిక్ చేసి క్లెయిమ్ చేసుకోండి అని ఒక ఫిషింగ్ లింక్ ఎస్ఎమ్ఎస్ వచ్చింది, ఆయన ఆ లింక్ ఓపెన్ చేసి బ్యాంక్ అకౌంట్ నంబర్ ఎంటర్ చేశారు, వెంటనే అకౌంట్ లోని డబ్బులు మొత్తం డెబిట్ అయ్యాయి, దీనిపై...  సైబర్ క్రైమ్ పోలీసులకు ఆన్‌లైన్ లో ఫిర్యాదు ఎలా చేయాలి.","మా నాన్నగారి మొబైల్‌కు ఇన్‌కమ్ టాక్స్ రీఫండ్ వచ్చింది ఈ లింక్ క్లిక్ చేసి...  క్లెయిమ్ చేసుకోండి అని ఒక...  ఫిషింగ్ లింక్ ఎస్ఎమ్‌ఎస్ వచ్చింది, ఆయన ఆ లింక్ ఓపెన్ చేసి బ్యాంకు ఖాతా నంబరు ఎంటర్ చేశారు. వెంటనే...  خాతాలోని డబ్బులు మొత్తం డెబిట్ అయ్యాయి, దీనిపై సైబర్ క్రైమ్ పోలీసులకు ఆన్‌లైన్‌లో ఫిర్యాదు ఎలా చేయాలి?"
"maa nannagari mobileki income tax refund vachindi ee link click chesi claim cheskondi ani oka phishing link sms vachindi, ayana aa link open chesi bank account number enter cheshaaru, ventane account loni dabbulu motham debit ayyaayi, deenipai cyber crime policelaku onlinelo phiryadu ela cheyali.","మా నాన్నగారి మొబైల్‌కు...  ఇన్‌కమ్ టాక్స్ రీఫండ్ వచ్చింది ఈ...  లింక్ క్లిక్ చేసి క్లెయిమ్ చేసుకోండి అని ఒక...  ఫిషింగ్ లింక్ ఎస్ఎమ్‌ఎస్ వచ్చింది, ఆయన ఆ లింక్ ఓపెన్ చేసి బ్యాంకు ఖాతా నంబరు ఎంటర్ చేశారు. వెంటనే...  ఖాతాలోని డబ్బులు మొత్తం డెబిట్ అయ్యాయి, దీనిపై సైబర్ క్రైమ్ పోలీసులకు ఆన్‌లైన్‌లో ఫిర్యాదు ఎలా...  చేయాలి?"
